;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
24.11.16;SU4;E1;A - B;Tillæg Ugeposten Skjern Trimmet;SUP Tillæg;SUP;;SU4JFM0S2906161111028.pdf;;SUP-S;;
24.11.16;SUQ;;;Ugeposten Skjern Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;UAR;E1;A - B;Ugeavisen Ringkøbing;UAR;UAR;;UARJFM0T2906161111028.pdf;;UAR;;
24.11.16;UB2;E1;A - B;Tillæg Ugeavisen Ringkøbing;UAR Tillæg;UAR;;UB2JFM0T2906161111028.pdf;;UAR-S;;
24.11.16;UB4;E1;A - B;Tillæg Ugeavisen Ringkøbing Trimmet;UAR Tillæg;UAR;;UB4JFM0S2906161111028.pdf;;UAR-S;;
24.11.16;URQ;;;Ugeavisen Ringkøbing Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;UMA;E1;A - B;Ugeavisen Møldrup Aalestrup;UMA;UMA;;UMAJFM0T2906161111028.pdf;;UMA;;
24.11.16;UM2;E1;A - B;Tillæg Ugeavisen Møldrup Aalestrup;UMA Tillæg;UMA;;UM2JFM0T2906161111028.pdf;;UMA-S;;
24.11.16;UM4;E1;A - B;Tillæg Ugeavisen Møldrup Aalestrup Trimmet;UMA Tillæg;UM4;;UM4JFM0S2906161111028.pdf;;UMA-S;;
24.11.16;UMQ;;;Ugeavisen Møldrup Aalestrup Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;USK;E1;A - B;Ugebladet Skanderborg;USK;USK;;USKJFM0T2906161111028.pdf;;USK;;
24.11.16;US2;E1;A - B;Tillæg Ugebladet Skanderborg;USK Tillæg;USK;;US2JFM0T2906161111028.pdf;;USK-S;;
24.11.16;US4;E1;A - B;Tillæg Ugebladet Skanderborg Trimmet;USK Tillæg;USK;;US4JFM0S2906161111028.pdf;;USK-S;;
24.11.16;USQ;;;Ugebladet Skanderborg Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;USO;E1;A - B;Ugeavisen Struer;USO;USO;;USOJFM0T2906161111028.pdf;;USO;;
24.11.16;UT2;E1;A - B;Tillæg Ugeavisen Struer;USO Tillæg;USO;;UT2JFM0T2906161111028.pdf;;USO-S;;
24.11.16;UT4;E1;A - B;UTillæg geavisen Struer Trimmet;USO Tillæg;USO;;UT4JFM0S2906161111028.pdf;;USO-S;;
24.11.16;UTQ;;;Ugeavisen Struer Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;VNY;E1;A - B;Viborg Nyt;VNY;VNY;;VNYJFM0T2906161111028.pdf;;VNY;;
24.11.16;VN2;E1;A - B;Tillæg Viborg Nyt;VNY Tillæg;VNY;;VN2JFM0T2906161111028.pdf;;VNY-S;;
24.11.16;VN4;E1;A - B;Tillæg Viborg Nyt Trimmet;VNY Tillæg;VNY;;VN4JFM0S2906161111028.pdf;;VNY-S;;
24.11.16;VNB;E1;A;Viborg Nyt Bolig;VNY Tillæg;VNY;;VNBJFM0S2906161111028.pdf;;VNY-S;;
;SMM;E1;A;Sct. Mathias Marked;VNY Tillæg;VNY;;SMMJFM0S2906161111028.pdf;;VNY-S-2;;
24.11.16;VNQ;;;Viborg Nyt Øvrige Formater;;;;Ekstern tryk;;;;
23.08.17;QDV;E1;A;Pindle Viborg;VNY Tillæg 2;VNY;;Ekstern tryk;;QDV og VNY-s-2;;
24.11.16;VPA;E1;A - B;Vinderup Avis;VPA;VPA;;VPAJFM0T2906161111028.pdf;;VPA;;
24.11.16;VI2;E1;A - B;Tillæg Vinderup Avis;VPA Tillæg;VPA;;VP2JFM0T2906161111028.pdf;;VPA-S;;
24.11.16;VI4;E1;A - B;Tillæg Vinderup Avis Trimmet;VPA Tillæg;VPA;;VP4JFM0S2906161111028.pdf;;VPA-S;;
24.11.16;VPQ;;;Vinderup Avis Øvrige Formater;;;;Ekstern tryk;;;;
;;;;;;;;;;;;
03.01.17;JVG;FSZ;A;JydskeVestkysten Gear;JV Gear;FSZ;;JVGJFM0T0701171111001.pdf;;JVG;;JA
;;;;;;;;;;;;
01.02.17;JVE;SO;A - I;JV Sønderborg (Master);JV 1. - 9. sektion;SDR;;JVEJFM0T290616A111001.pdf;SDRJFM0T290616S11A001.pdf;SDR;;
01.02.17;JVE;BI;A - I;JV Billund;JV 1. - 2. sektion;BIL;;JVEJFM0T290616B113004.pdf;BILJFM0T290616S11A001.pdf;BIL;;
01.02.17;JVE;VA;A - I;JV Varde;JV 1. - 2. sektion;VAR;;JVEJFM0T290616C113011.pdf;VARJFM0T290616S11A001.pdf;VAR;;
01.02.17;JVE;ES;A - I;JV Esbjerg;JV 1. - 2. sektion;ESB;;JVEJFM0T290616D113007.pdf;ESBJFM0T290616S11A001.pdf;ESB;;
01.02.17;JVE;HA;A - I;JV Haderslev;JV 1. - 2. sektion;HAD;;JVEJFM0T290616E113004.pdf;HADJFM0T290616S11A001.pdf;HAD;;
01.02.17;JVE;KO;A - I;JV Kolding;JV 1. - 2. sektion;KOL;;JVEJFM0T290616F113011.pdf;KOLJFM0T290616S11A001.pdf;KOL;;
01.02.17;JVE;TO;A - I;JV Tønder;JV 1. - 2. sektion;TON;;JVEJFM0T290616G113011.pdf;TONJFM0T290616S11A001.pdf;TON;;
01.02.17;JVE;AA;A - I;JV Aabenraa;JV 1. - 2. sektion;AAB;;JVEJFM0T290616H111001.pdf;AABJFM0T290616S11A001.pdf;AAB;;
01.02.17;JVE;VE;A - I;JV Vejen;JV 1. - 2. sektion;VEJ;;JVEJFM0T290616I113002.pdf;VEJJFM0T290616S11A001.pdf;VEJ;;
;J22;;;Tillæg JV (J12,J22,J32, J42, J52, J62, J72, J82, J92);;;;;;;;
;J44;;;Trimmet Tillæg JV (J14, J24, J34, J44, J54, J64, J74, J84, J94);;;;;;;;
;;;;;;;;;;;;
01.02.17;XBS;;;Business Syd;;;;XBSJFM0S2906161111028.pdf;;XBS;;
01.02.17;XED;;;Erhverv Danmark;;;;Ekstern trykkeri;;XED;Trykkes hos Rotaprint første sider skal bruges i NCS 12. marts;
01.02.17;XEJ;;;Erhverv+ Sydjylland;;;;XEJJFM0T2906161111028.pdf;;;;
01.02.17;XEO;;;Erhverv+ Østjylland;;;;XEOJFM0T2906161111028.pdf;3. sek. I RAM, AAS og VSF samt i XEO mappe;;;
;;;;;;;;;;;;
;XSV;E1;;Mit Svendborg (A4);;XSV;Magasiner;Ekstern tryk;;;;
;XTH;E1;;Thuringeren (A4);;XSV;Magasiner;Ekstern tryk;;;;
;XTO;E1;;Tøringeren (A4);;XSV;Magasiner;Ekstern tryk;;;;
;;;;;;;;;;;;
01.02.17;AUG;E1 ;A - B;Aabenraa Ugeavis;AUG;AUG;;AUGJFM0T2906161111028.pdf;;AUG;Var  AUG-S-3 på ftp;
01.02.17;AU2;E1;A - B;Tillæg Aabenraa Ugeavis;AUG Tillæg;AUG;;AU2JFM0T2906161111028.pdf;;AUG-S;;
01.02.17;AU4;E1;A - B;Tillæg Aabenraa Ugeavis Trimmet;AUG Tillæg;AUG;;AU4JFM0S2906161111028.pdf;;AUG-S;;
;QAH;E1;A;Tillæg Aabenraa Ugeavis Øvrige Formater;AUG Tillæg;AUG;;Ekstern tryk;;;;
01.02.17;QDE;E1;A;Tillæg Aabenraa Ugeavis Øvrige Formater;AUG Tillæg;;;Ekstern tryk;;;;
01.02.17;BOB;E1;A - B;Bov Bladet;BOB;BOB;;BOBJFM0T2906161111028.pdf;;BOB;Var  BOB-S-3 på ftp;
01.02.17;BO2;E1;A - B;Tillæg Bov Bladet;BOB Tillæg;BO2;;BO2JFM0T2906161111028.pdf;;BOB-S;;
01.02.17;BO4;E1;A - B;Tillæg Bov Bladet Trimmet;BOB Tillæg;BO4;;BO4JFM0S2906161111028.pdf;;BOB-S;;
01.02.17;BOQ;;;Bov Bladet Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;BRU;E1;A - B;Ugeavisen Bramming;BRU;BRU;;BRUJFM0T2906161111028.pdf;;BRU;Var  BRU-S-3 på ftp;
01.02.17;BB2;E1;A - B;Tillæg Ugeavisen Bramming;BRU Tillæg;BB2;;BB2JFM0T2906161111028.pdf;;BRU-S;;
01.02.17;BB4;E1;A - B;Tillæg Ugeavisen Bramming Trimmet;BRUTillæg;BB4;;BB4JFM0S2906161111028.pdf;;BRU-S;;
01.02.17;BBQ;;;Ugeavisen Bramming Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;DPT;E1;A - B;Digeposten;DPT;DPT;;DPTJFM0T2906161111028.pdf;;DPT;Var DIP-S-3;
01.02.17;DP2;E1;A - B;Tillæg Digeposten;DPT Tillæg;DP2;;DP2JFM0T2906161111028.pdf;;DPT-S;Var DIP-S;
01.02.17;DP4;E1;A - B;Tillæg Digeposten Trimmet;DPT Tillæg;DP4;;DP4JFM0S2906161111028.pdf;;DPT-S;;
01.02.17;DPQ;;;Digeposten Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;HUG;E1;A;Haderslev Ugeavis;HUG;HUG;;HUGJFM0T2906161111028.pdf;;HUG;;
;HUG;E1;B;Haderslev Ugeavis;HUG Tillæg 2;HUG;;HUBJFM0T2906161111028.pdf;;HUG-S-3;Efter uge 35 2017;
01.02.17;HU2;E1;A - B;Tillæg Haderslev Ugeavis;HUG Tillæg;HU2;;HU2JFM0T2906161111028.pdf;;HUG-S;;
01.02.17;HU4;E1;A - B;Tillæg Haderslev Ugeavis Trimmet;HUG Tillæg;HU4;;HU4JFM0S2906161111028.pdf;;HUG-S;;
01.02.17;QCF;;;Haderslev Ugeavis Øvrige Formater;HUG Tillæg;HUG;;Ekstern tryk;;;;
01.02.17;KUO;E1;A - B;Kolding Ugeavis Onsdag;KUO;KUO;;KUOJFM0T2906161111028.pdf;;KUO;Var  KUO-S-3 på ftp;
01.02.17;KUL;;;Kolding Ugeavis Lørdag;KUO;KUO;;KULJFM0T2906161111028.pdf;;KUL;;
;KBO;E1;A;Kolding Ugeavis Bolig;KUO Tillæg;KUO;;KBOJFM0T2906161111028.pdf;KBOJFM0T2906161111028.pdf;KBO;;
01.02.17;KK2;E1;A - B;Tillæg Kolding Ugeavis;KUO Tillæg;KK2;;KK2JFM0T2906161111028.pdf;;KUO-S;;
01.02.17;KK4;E1;A - B;Tillæg Kolding Ugeavis Trimmet;KUO Tillæg;KK4;;KK4JFM0S2906161111028.pdf;;KUO-S;;
01.02.17;KKQ;;;Kolding Ugeavis Onsdag Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;MSU;E1;A - B;Ugeavisen Midtsyd;MSU;MSU;;MSUJFM0T2906161111028.pdf;;MSU;Var  MSU-S-3 på ftp;
01.02.17;MS2;E1;A - B;Tillæg Ugeavisen Midtsyd;MSU Tillæg;MS2;;MS2JFM0T2906161111028.pdf;;MSU-S;;
01.02.17;MS4;E1;A - B;Tillæg Ugeavisen Midtsyd Trimmet;MSU Tillæg;MS4;;MS4JFM0S2906161111028.pdf;;MSU-S;;
01.02.17;MSQ;;;Ugeavisen Midtsyd Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;NTU;E1;A - B;Ny Tirsdag;NTU;NTU;;NTUJFM0T2906161111028.pdf;;NTU;Var  NTU-S-3 på ftp;
01.02.17;NT2;E1;A - B;Tillæg Ny Tirsdag;NTU Tillæg;NT2;;NT2JFM0T2906161111028.pdf;;NTU-S;;
01.02.17;NT4;E1;A - B;Tillæg Ny Tirsdag Trimmet;NTU Tillæg;NT4;;NT4JFM0S2906161111028.pdf;;NTU-S;;
01.02.17;NTQ;;;Ny Tirsdag Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;SKU;E1;A - B;Skærbæk Avis;SKU;SKU;;SKUJFM0T2906161111028.pdf;;SKU;Var  SKU-S-3 på ftp;
01.02.17;SK2;E1;A - B;Tillæg Skærbæk Avis;SKU Tillæg;SK2;;SK2JFM0T2906161111028.pdf;;SKU-S;;
01.02.17;SK4;E1;A - B;Tillæg Skærbæk Avis Trimmet;SKU Tillæg;SK4;;SK4JFM0S2906161111028.pdf;;SKU-S;;
01.02.17;SKQ;;;Skærbæk Avis Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;SUB;E1;A;Sønderborg ugeavis broad;SUG 1. sektion;SUG;;SUGJFM0B2906161111028.pdf;;SUG;;
01.02.17;SUG;E1;B;Sønderborg ugeavis tabl.;SUG 2. sektion;SUG;;SUGJFM0T2906161112028.pdf;;SUG;;
01.02.17;SBO;E1 ;C;Sønderborg ugeavis Bolig;SUG 3. sektion;SUG;;SUGJFM0T2906161113028.pdf;;SUG;;
01.02.17;SS2;E1;A - B;Tillæg Sønderborg ugeavis;SUG Tillæg;SS2;;SS2JFM0T2906161111028.pdf;;SUG-S;;
01.02.17;SS4;E1;A - B;Tillæg Sønderborg ugeavis Trimmet;SUG Tillæg;SS4;;SS4JFM0S2906161111028.pdf;;SUG-S;;
01.02.17;SSQ;;;Sønderborg Ugeavis Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;TOU;E1;A - B;Ugeavisen Tønder;TOU;TOU;;TOUJFM0T2906161111028.pdf;;TOU;Var  TON på ftp;
01.02.17;TU2;E1;A - B;Tillæg Ugeavisen Tønder;TOU Tillæg;TU2;;TU2JFM0T2906161111028.pdf;;TOU-S;Var TON-S på ftp;
01.02.17;TU4;E1;A - B;Tillæg Ugeavisen Tønder Trimmet;TOU Tillæg;TU4;;TU4JFM0S2906161111028.pdf;;TOU-S;;
01.02.17;TUQ;;;Ugeavisen Tønder Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;URI;E1;A - B;Ugeavisen Ribe;URI;URI;;URIJFM0T2906161111028.pdf;;URI;Var  URI-S-3 på ftp;
01.02.17;UR2;E1;A - B;Tillæg Ugeavisen Ribe;URI Tillæg;UR2;;UR2JFM0T2906161111028.pdf;;URI-S;;
01.02.17;UR4;E1;A - B;Tillæg Ugeavisen Ribe Trimmet;URI Tillæg;UR4;;UR4JFM0S2906161111028.pdf;;URI-S;;
01.02.17;QAG;;;Ugeavisen Ribe Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;UTO;E1;A - B;Ugebladet Tistrup/Ølgod;UTO;UTO;;UTOJFM0T2906161111028.pdf;;UTO;Var  UTO-S-3 på ftp;
01.02.17;UO2;E1;A - B;Tillæg Ugebladet Tistrup/Ølgod;UTO Tillæg;UO2;;UO2JFM0T2906161111028.pdf;;UTO-S;;
01.02.17;UO4;E1;A - B;Tillæg Ugebladet Tistrup/Ølgod Trimmet;UTO Tillæg;UO4;;UO4JFM0S2906161111028.pdf;;UTO-S;;
01.02.17;UOQ;;;Ugebladet Tistrup/Ølgod Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;UVH;E1;A - B;Ugeavisen Vejen B H;UVH;UVH;;UVHJFM0T2906161111028.pdf;;UVH;Var  UVH-S-3 på ftp;
01.02.17;UH2;E1;A - B;Tillæg Ugeavisen Vejen B H;UVH Tillæg;UH2;;UH2JFM0T2906161111028.pdf;;UVH-S;;
01.02.17;UH4;E1;A - B;Tillæg Ugeavisen Vejen B H Trimmet;UVH Tillæg;UH4;;UH4JFM0S2906161111028.pdf;;UVH-S;;
01.02.17;UBQ;;;Ugeavisen Vejen B H Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;VAU;E1;A - B;Ugeavisen Varde;VAU;VAU;;VAUJFM0T2906161111028.pdf;;VAU;;
01.02.17;VA2;E1;A - B;Tillæg Ugeavisen Varde;VAU Tillæg;VAU;;VA2JFM0T2906161111028.pdf;;VAU-S;;
01.02.17;VA4;E1;A - B;Tillæg Ugeavisen Varde Trimmet;VAU Tillæg;VAU;;VA4JFM0S2906161111028.pdf;;VAU-S;;
01.02.17;VAM;E1;A;Ugeavisen Varde Motor 6 gange årligt;VAU 2. sektion;VAU;;VAUJFM0T2906161112028.pdf;;;;
01.02.17;VAQ;;;Ugeavisen Varde Øvrige Formater;;;;Ekstern tryk;;;;
01.02.17;VPU;E1;A - B;Vesterhavsposten;VPU;VPU;;VPUJFM0T2906161111028.pdf;;VPU;Var VPH-S-3 på ftp;
01.02.17;VP2;E1;A - B;Tillæg Vesterhavsposten;VPU Tillæg;VP2;;VP2JFM0T2906161111028.pdf;;VPU-S;Var VPH-S på ftp;
01.02.17;VP4;E1;A - B;Tillæg Vesterhavsposten Trimmet;VPU Tillæg;VP4;;VP4JFM0S2906161111028.pdf;;VPU-S;Var VPH-S på ftp;
01.02.17;VEQ;;;Vesterhavsposten Øvrige Formater;;;;;;;;
;;;;;;;;;;;;
01.03.17;HVF;;;Fællessektion;;;;;;;;
01.03.17;HOF;E1;A - I;Horsens Folkeblad (Master);HOF 1. - 9. sektion;HOF;;HOFJFM0T2906161111027.pdf;HOFJFM0T290616111A027.pdf;HOF;;
;H22;;;Tillæg Horsens Folkeblad;JYM Tillæg 1;;;HH2JFM0T2906161111027.pdf;HOFJFM0T290616111X027.pdf;HOF;OBS !! H22 og ikke HH2;
;H44;;;Trimmet tillæg Horsens Folkeblad;JYM Tillæg 2;;;HH4JFM0T2906161111027.pdf;HOFJFM0T290616111X027.pdf;HOF;;
;;;;;;;;;;;;
01.03.17;VAF;E1;A - I;Vejle Amts Folkeblad;JYM 1. - 9. sektion;VAF;;VAFJFM0T2906161111028.pdf;VAFJFM0T290616V11A028.pdf;VAF;;
;V22;;;Tillæg Vejle Amts Folkeblad;JYM Tillæg 1;VAF;;V22JFM0T2906161111028.pdf;VAFJFM0T290616V11X028.pdf;VAF;;
;V44;;;Trimmet tillæg Vejle Amts Folkeblad;JYM Tillæg 2;VAF;;V44JFM0T2906161111028.pdf;VAFJFM0T290616V11X028.pdf;VAF;;
;;;;;;;;;;;;
01.03.17;FRD;E1;A - I;Fredericia Dagblad;FRD 1. - 9. sektion;FRD;;FRDJFM0T290616F111028.pdf;FRDJFM0T290616F11A028.pdf;FRD;;
;R22;;;Tillæg Fredericia Dagblad;JYM Tillæg 1;;;R22JFM0T290616F111028.pdf;FRDJFM0T290616F11X028.pdf;FRD;;
;R44;;;Trimmet tillæg Fredericia Dagblad;JYM Tillæg 2;;;V44JFM0T290616F111028.pdf;FRDJFM0T290616F11X028.pdf;FRD;;
;;;;;;;;;;;;
01.03.17;BBU;E1;A - B;Billund Ugeavis;BBU;BBU;;BBUJFM0T2906161111028.pdf;BBUJFM0T290616111A028.pdf;BBU;;
01.03.17;BU2;E1;A - B;Tillæg Billund Ugeavis;BBU Tillæg 1;BBU;;BU2JFM0T2906161111028.pdf;BU2JFM0T290616111A028.pdf;BBU-S;;
01.03.17;BU4;E1;A - B;Tillæg Billund Ugeavis Trimmet;BBU Tillæg 2;BBU;;BU4JFM0S2906161111028.pdf;BU4JFM0S290616111A028.pdf;BBU-S;;
01.03.17;BUQ;;;Billund Ugeavis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;BRA;E1;A - B;Brædstrup Avis;BRA;BRA;;BRAJFM0T2906161111028.pdf;BRAJFM0T290616111A028.pdf;BRA;;
01.03.17;BR2;E1;A - B;Tillæg Brædstrup Avis;BRA Tillæg 1;BR2;;BR2JFM0T2906161111028.pdf;BR2JFM0T290616111A028.pdf;BRA-S;;
01.03.17;BR4;E1;A - B;Tillæg Brædstrup Avis Trimmet;BRA Tillæg 2;BR4;;BR4JFM0S2906161111028.pdf;BR4JFM0S290616111A028.pdf;BRA-S;;
01.03.17;BRQ;;;Brædstrup Avis  Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;EEP;E1;A - B;Egtved Posten;EEP;EEP;;EEPJFM0T2906161111028.pdf;EEPJFM0T290616111A028.pdf;EEP;;
01.03.17;EE2;E1;A - B;Tillæg Egtved Posten;EEP Tillæg 1;EE2;;EE2JFM0T2906161111028.pdf;EE2JFM0T290616111A028.pdf;EEP-S;;
01.03.17;EE4;E1;A - B;Tillæg Egtved Posten Trimmet;EEP Tillæg 2;EE4;;EE4JFM0S2906161111028.pdf;EE4JFM0S290616111A028.pdf;EEP-S;;
01.03.17;EEQ;;;Egtved Posten Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;GTA;E1;A - B;Give Thyregod Avis;GTA;GTA;;GTAJFM0T2906161111028.pdf;GTAJFM0T290616111A028.pdf;GTA;;
01.03.17;GT2;E1;A - B;Tillæg Give Thyregod Avis;GTA Tillæg 1;GT2;;GT2JFM0T2906161111028.pdf;GT2JFM0T290616111A028.pdf;GTA-S;;
01.03.17;GT4;E1;A - B;Tillæg Give Thyregod Avis Trimmet;GTA Tillæg 2;GT4;;GT4JFM0S2906161111028.pdf;GT4JFM0S290616111A028.pdf;GTA-S;;
01.03.17;GTQ;;;Give Thyregod Avis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;ELB;E1;A - B;Elbobladet;ELB;ELB;;ELBJFM0B2906161111028.pdf;ELBJFM0B290616111A028.pdf;ELB;;
01.03.17;ELB;E1;B;Elbobladet Magasin. Fast 2. sektion, tab.;ELM;ELB;;ELMJFM0T2906161112003.pdf;ELMJFM0T290616111B003.pdf;ELB;;
01.03.17;EL2;E1;A - B;Tillæg Elbobladet;ELB Tillæg 1;EL2;;EL2JFM0T2906161111028.pdf;EL2JFM0T290616111A028.pdf;ELB-S;;
01.03.17;EL4;E1;A - B;Tillæg Elbobladet Trimmet;ELB Tillæg 2;EL4;;EL4JFM0S2906161111028.pdf;EL4JFM0S290616111A028.pdf;ELB-S;;
01.03.17;ELQ;;;Elbobladet Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;HED;E1;A - B;Hedensted Avis;HED;HED;;HEDJFM0T2906161111028.pdf;HEDJFM0T290616111A028.pdf;HED;;
01.03.17;HE2;E1;A - B;Tillæg Hedensted Avis;HED Tillæg 1;HE2;;HE2JFM0T2906161111028.pdf;HE2JFM0T290616111A028.pdf;HED-S;;
01.03.17;HE4;E1;A - B;Tillæg Hedensted Avis Trimmet;HED Tillæg 2;HE4;;HE4JFM0S2906161111028.pdf;HE4JFM0S290616111A028.pdf;HED-S;;
01.03.17;HEQ;;;Hedensted Avis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;HOP;E1;A - B;Horsens Posten;HOP;HOP;;HOPJFM0T2906161111028.pdf;HOPJFM0T290616111A028.pdf;HOP;;
01.03.17;HH2;E1;A - B;Tillæg Horsens Posten;HOP Tillæg 1;HOP;;HH2JFM0T2906161111028.pdf;HH2JFM0T290616111A028.pdf;HOP-S;;
01.03.17;HH4;E1;A - B;Tillæg Horsens Posten Trimmet;HOP Tillæg 2;HOP;;HH4JFM0S2906161111028.pdf;HH4JFM0S290616111A028.pdf;HOP-S;;
01.03.17;HCA;E1;A;CityHorsens Avisen;HOP Tillæg 1;HOP;;HCAJFM0S2906161111028.pdf;HCAJFM0S2906161111028.pdf;HOP-S;;
01.03.17;HPQ;;;Horsens Posten Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;JEU;E1;A - B;Jelling Ugeavis;JEU;JEU;;JEUJFM0T2906161111028.pdf;JEUJFM0T290616111A028.pdf;JEU;;
01.03.17;JE2;E1;A - B;Tillæg Jelling Ugeavis;JEU Tillæg 1;JE2;;JE2JFM0T2906161111028.pdf;JE2JFM0T290616111A028.pdf;JEU-S;;
01.03.17;JE4;E1;A - B;Tillæg Jelling Ugeavis Trimmet;JEU Tillæg 2;JE4;;JE4JFM0S2906161111028.pdf;JE4JFM0S290616111A028.pdf;JEU-S;;
01.03.17;JEQ;;;Jelling Ugeavis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;MJU;E1;A - B;Midtjysk Ugeavis;MJU;MJU;;MJUJFM0T2906161111028.pdf;MJUJFM0T290616111A028.pdf;MJU;;
01.03.17;MJ2;E1;A - B;Tillæg Midtjysk Ugeavis;MJU Tillæg 1;MJU;;MJ2JFM0T2906161111028.pdf;MJ2JFM0T290616111A028.pdf;MJU-S;;
01.03.17;MJ4;E1;A - B;Tillæg Midtjysk Ugeavis Trimmet;MJU Tillæg 2;MJU;;MJ4JFM0S2906161111028.pdf;MJ4JFM0S290616111A028.pdf;MJU-S;;
01.03.17;MJQ;;;Midtjysk Ugeavis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;ODA;E1;A - B;Odder Avis;ODA;ODA;;ODAJFM0B2906161111028.pdf;ODAJFM0B290616111A028.pdf;ODA;;
01.03.17;ODA;E1;C;Odder Boligavis. Fast 3. sektion, tab.;ODA;ODA;;ODBJFM0T2906161113028.pdf;ODAJFM0T290616111C028.pdf;ODA;;
01.03.17;OD2;E1;A - B;Tillæg Odder Avis;ODA Tillæg 1;ODA;;OD2JFM0T2906161111028.pdf;OD2JFM0T290616111A028.pdf;ODA-S;;
01.03.17;OD4;E1;A - B;Tillæg Odder Avis Trimmet;ODA Tillæg 2;ODA;;OD4JFM0S2906161111028.pdf;OD4JFM0S290616111A028.pdf;ODA-S;;
01.03.17;ODQ;;;Odder Avis Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;TOF;E1;A - B;Tørring Folkeblad;TOF;TOF;;TOFJFM0T2906161111028.pdf;TOFJFM0T290616111A028.pdf;TOF;;
01.03.17;TO2;E1;A - B;Tillæg Tørring Folkeblad;TOF Tillæg 1;TOF;;TO2JFM0T2906161111028.pdf;TO2JFM0T290616111A028.pdf;TOF-S;;
01.03.17;TO4;E1;A - B;Tillæg Tørring Folkeblad Trimmet;TOF Tillæg 2;TOF;;TO4JFM0S2906161111028.pdf;TO4JFM0S290616111A028.pdf;TOF-S;;
01.03.17;TOQ;;;Tørring Folkeblad Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;TTF;E1;A - B;Trekantens Folkeblad;TTF;TTF;;TTFJFM0T2906161111028.pdf;TTFJFM0T290616111A028.pdf;TTF;;
01.03.17;TT2;E1;A - B;Tillæg Trekantens Folkeblad;TTF Tillæg 1;TTF;;TT2JFM0T2906161111028.pdf;TT2JFM0T290616111A028.pdf;TTF-S;;
01.03.17;TT4;E1;A - B;Tillæg Trekantens Folkeblad Trimmet;TTF Tillæg 2;TTF;;TT4JFM0S2906161111028.pdf;TT4JFM0S290616111A028.pdf;TTF-S;;
01.03.17;TTQ;;;Trekantens Folkeblad Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;UAV;E1;A - B;Ugeavisen Vejle Posten;UAV;UAV;;UAVJFM0T2906161111028.pdf;UAVJFM0T290616111A028.pdf;UAV;;
01.03.17;UZ2;E1;A - B;Tillæg Ugeavisen Vejle Posten;UAV Tillæg 1;UAV;;UZ2JFM0T2906161111028.pdf;UZ2JFM0T290616111A028.pdf;UAV-S;;
01.03.17;UZ4;E1;A - B;Tillæg Ugeavisen Vejle Posten Trimmet;UAV Tillæg 2;UAV;;UZ4JFM0S2906161111028.pdf;UZ4JFM0S290616111A028.pdf;UAV-S;;
01.03.17;UBV;E1;A;Ugeavisen BoligVejle;UAV Tillæg 1;UAV;;UBVJFM0T2906161111028.pdf;UBVJFM0T290616111A028.pdf;UAV-S;;
01.03.17;UCA;;;Ugeavisen City Vejle;UAV Tillæg 2;UAV;;UCAJFM0T2906161111028.pdf;UCAJFM0T290616111A028.pdf;UAV-S;;
01.03.17;UPQ;;;Ugeavisen Vejle Posten Øvrige Formater;;;;Ekstern tryk;;;;
01.03.17;OAV;E1;A - B;Onsdagsavisen;OAV;OAV;;OAXJFM0T2906161111028.pdf;OAXJFM0T2906161111028.pdf;OAX;;
01.03.17;OA2;E1;A - B;Tillæg Onsdagsavisen;OAV Tillæg 1;OAV;;OA2JFM0T2906161111028.pdf;OA2JFM0T2906161111028.pdf;OAX-S;;
